modelo,origem,converged,iterations,optimizer,maxiter_config,warning_convergencia_emitido,aic,llf
SARIMA_sem_exog,2021-09,True,43,lbfgs,,False,5136.21167631924,-2562.10583815962
SARIMAX_atual,2021-09,False,50,lbfgs,,True,5070.808869983228,-2526.404434991614
SARIMA_sem_exog,2021-12,False,50,lbfgs,,True,5176.794110073283,-2582.3970550366416
SARIMAX_atual,2021-12,False,50,lbfgs,,True,5110.760816687262,-2546.380408343631
SARIMA_sem_exog,2022-03,True,43,lbfgs,,False,5215.00339586251,-2601.501697931255
SARIMAX_atual,2022-03,False,50,lbfgs,,True,5146.50370194815,-2564.251850974075
SARIMA_sem_exog,2022-06,False,50,lbfgs,,True,5249.290027562567,-2618.6450137812835
SARIMAX_atual,2022-06,False,50,lbfgs,,True,5185.670231825122,-2583.835115912561
SARIMA_sem_exog,2022-09,False,50,lbfgs,,True,5279.97343162914,-2633.98671581457
SARIMAX_atual,2022-09,False,50,lbfgs,,True,5216.192978339819,-2599.0964891699095
SARIMA_sem_exog,2022-12,False,50,lbfgs,,True,5318.984467086727,-2653.4922335433635
SARIMAX_atual,2022-12,False,50,lbfgs,,True,5252.087683274194,-2617.043841637097
SARIMA_sem_exog,2023-03,False,50,lbfgs,,True,5352.164657945159,-2670.0823289725795
SARIMAX_atual,2023-03,False,50,lbfgs,,True,5286.166655533902,-2634.083327766951
SARIMA_sem_exog,2023-06,False,50,lbfgs,,True,5382.918715579043,-2685.4593577895216
SARIMAX_atual,2023-06,False,50,lbfgs,,True,5317.081982682648,-2649.540991341324
SARIMA_sem_exog,2023-09,False,50,lbfgs,,True,5413.291489032437,-2700.6457445162187
SARIMAX_atual,2023-09,False,50,lbfgs,,True,5346.493117595598,-2664.246558797799
SARIMA_sem_exog,2023-12,False,50,lbfgs,,True,5447.751434917716,-2717.875717458858
SARIMAX_atual,2023-12,False,50,lbfgs,,True,5378.135258255012,-2680.067629127506
SARIMA_sem_exog,2024-03,False,50,lbfgs,,True,5480.351699733452,-2734.175849866726
SARIMAX_atual,2024-03,False,50,lbfgs,,True,5412.465814148993,-2697.2329070744963
SARIMA_sem_exog,2024-06,False,50,lbfgs,,True,5512.385645262631,-2750.1928226313157
SARIMAX_atual,2024-06,False,50,lbfgs,,True,5445.034144009632,-2713.517072004816
SARIMA_sem_exog,2024-09,False,50,lbfgs,,True,5542.9912197122085,-2765.4956098561042
SARIMAX_atual,2024-09,False,50,lbfgs,,True,5475.621924847686,-2728.810962423843
SARIMA_sem_exog,2024-12,False,50,lbfgs,,True,5574.0378957918065,-2781.0189478959032
SARIMAX_atual,2024-12,False,50,lbfgs,,True,5505.718328529336,-2743.859164264668
SARIMA_sem_exog,2025-03,False,50,lbfgs,,True,5610.642272878852,-2799.321136439426
SARIMAX_atual,2025-03,False,50,lbfgs,,True,5540.366260731615,-2761.1831303658073
SARIMA_sem_exog,2025-06,False,50,lbfgs,,True,5645.027033638444,-2816.513516819222
SARIMAX_atual,2025-06,False,50,lbfgs,,True,5575.086275044709,-2778.5431375223543
