origem,n_resid,mean_resid,autocorr_lag1,ljungbox_p_lag6,ljungbox_p_lag12,resid_mes_01,resid_mes_02,resid_mes_03,resid_mes_04,resid_mes_05,resid_mes_06,resid_mes_07,resid_mes_08,resid_mes_09,resid_mes_10,resid_mes_11,resid_mes_12
2002-12,261,7.395490028433083,0.2605135183408591,2.3131845580201207e-06,4.5758108600569304e-05,8.549837864878217,13.363405043773886,21.45903903420419,20.786693318133445,20.990399397340436,3.895049964567524,0.8606913964248784,-4.492704195312211,-2.7142411115305776,-10.805527953260752,5.667665050946883,12.148563979101853
2003-03,264,7.579839155372331,0.24548271600341218,1.4885284590634953e-05,0.0002309522888195328,5.740275631599174,18.29924925963435,20.747411401540692,20.999193076678583,21.010622581639662,3.6068465912425896,0.4338117625734004,-4.620498479685728,-2.6652590930040585,-10.746011009798481,5.615448756161041,12.536979385886752
2003-06,267,7.020329902764136,0.24717176746504263,1.0775338948457119e-05,0.00015251857624937543,5.392277133872668,17.84760579851864,20.411668904154347,20.69817445794795,19.26665337386692,2.5686933793790776,-0.1532383786764363,-5.2039618359908495,-3.410403300810876,-11.416827593730474,5.154960241803142,12.112332493612733
2003-09,270,6.947037449434451,0.2581203153035097,2.1293971541445906e-06,3.437600087614799e-05,5.413462240756058,18.208736876768604,20.61304392426013,20.822115838627134,19.464672977996084,2.694612828564585,-0.8635467816877724,-4.301421888640644,-4.295073811449881,-11.49333695183121,5.199405727272344,12.27272684590511
2003-12,273,6.0909565786289015,0.24449792509013557,9.844090735107473e-06,0.00016378584315978733,5.2547247516633036,17.70954796631713,20.298596467963197,20.43353582817273,18.971116461189563,2.348644662117383,-0.9581605281232027,-4.194747199369901,-4.143913524679527,-13.24616050541854,3.4383720960487865,8.266444182885767
2004-03,276,7.020062013058499,0.2375788102347701,2.228496510834116e-05,0.0003209413289281993,9.460461478685229,24.26587028776351,21.02844298745566,20.198320009079765,18.56233793251506,2.05429700579006,-1.094561279311083,-4.389212854935168,-4.371427446629374,-13.251237884962393,3.762111106933948,8.015342814316757
2004-06,279,6.797599353497078,0.24544907206184147,8.694272985506379e-06,0.0001225241916939496,9.504483797927117,24.589873669740996,21.141605471680222,18.139918578048242,16.9919518000588,2.070259330921731,-0.9995740750351858,-4.469837854833741,-4.497150722084579,-13.404016888444835,3.8026769543813765,7.9701616731466185
2004-09,282,6.716570082577282,0.24481614465787138,7.617194527525007e-06,0.00010882030194066831,9.483706653128957,24.576132824784935,21.141687697167377,18.182305601010558,17.02981790532574,2.1170129660180597,-0.46858869500113504,-3.9587945246346963,-5.2106962784048045,-13.427052473797358,3.7748335823526307,7.9066654512879815
2004-12,285,6.337693181727229,0.24327687479649637,7.96786366878267e-06,0.0001413578520388531,9.591990021505293,24.540780215868445,20.97732487737354,18.01377641281181,16.896707585051814,2.076142323514393,-0.42836479737701616,-3.8427931547668543,-5.149359250873548,-12.294590651378298,1.023626033725782,6.151120880669951
2005-03,288,7.0818057914189465,0.25162363784389796,3.318102700380766e-06,6.427701073909716e-05,8.070264973673057,23.650789573419658,27.40218244526171,17.896954466180144,14.67107241853607,1.9852834540122561,-0.40094627911226094,-3.1411224473868593,-3.7364343425925717,-8.937996060010148,0.6697201880380135,6.851901107008281
2005-06,291,6.6637332703217,0.24542610860373176,5.364642729077355e-06,0.0001050649908991335,8.75730870623575,24.835881443386686,27.598136255553474,16.351686294641603,15.680595882074067,1.962345633541504,-0.6585075284942583,-4.034959282513273,-5.684177227725299,-12.281827720069492,1.1323230798463086,5.722517540746147
2005-09,294,6.301776983010967,0.2263305258480842,5.119491383232318e-05,0.0007308192150018865,8.39916424877221,23.936780747331028,27.156811915357082,15.904083601521233,14.977720631963543,1.618641672934396,-0.8295906825007386,-4.091721899964632,-5.248482419139772,-11.91029226574607,0.7853543739722836,5.567854329683186
2005-12,297,6.138048221895789,0.24005278866868573,7.823429570153924e-06,0.00016050956493804814,8.93570444951602,24.859918133647824,27.47824000570618,16.1999591970568,15.735899020837596,1.8763388212898802,-0.8250416169594368,-4.17279903595744,-5.652622553364975,-13.614469290917691,-0.2880294787767599,4.837869727598762
2006-03,300,6.53372748195526,0.2453552127493113,2.7951819330964685e-06,6.035861110008726e-05,5.952845948578415,21.835775972166203,29.55505451682273,16.135900818859774,13.306799367530395,1.949141196485479,-0.4148004863144722,-3.052066902980993,-3.465640819188294,-9.111245496979231,-0.3092059832888418,6.022171651771958
