ano,mes,prec,fonte,local
2015,2,244.3,CHIRPS,Sao_Bento_do_Tocantins
2015,3,225.9,CHIRPS,Sao_Bento_do_Tocantins
2015,4,127.7,CHIRPS,Sao_Bento_do_Tocantins
2015,5,79.2,CHIRPS,Sao_Bento_do_Tocantins
2015,6,6.5,CHIRPS,Sao_Bento_do_Tocantins
2015,7,7.2,CHIRPS,Sao_Bento_do_Tocantins
2015,8,12.3,CHIRPS,Sao_Bento_do_Tocantins
2015,9,6.2,CHIRPS,Sao_Bento_do_Tocantins
2015,10,57.9,CHIRPS,Sao_Bento_do_Tocantins
2015,11,39.6,CHIRPS,Sao_Bento_do_Tocantins
2015,12,81.6,CHIRPS,Sao_Bento_do_Tocantins
2016,1,353.6,CHIRPS,Sao_Bento_do_Tocantins
2016,2,154.0,CHIRPS,Sao_Bento_do_Tocantins
2016,3,237.3,CHIRPS,Sao_Bento_do_Tocantins
2016,4,172.0,CHIRPS,Sao_Bento_do_Tocantins
2016,5,70.4,CHIRPS,Sao_Bento_do_Tocantins
2016,6,9.9,CHIRPS,Sao_Bento_do_Tocantins
2016,7,0.0,CHIRPS,Sao_Bento_do_Tocantins
2016,8,14.6,CHIRPS,Sao_Bento_do_Tocantins
2016,9,58.9,CHIRPS,Sao_Bento_do_Tocantins
2016,10,162.8,CHIRPS,Sao_Bento_do_Tocantins
2016,11,144.1,CHIRPS,Sao_Bento_do_Tocantins
2016,12,133.4,CHIRPS,Sao_Bento_do_Tocantins
2017,1,276.7,CHIRPS,Sao_Bento_do_Tocantins
2017,2,505.8,CHIRPS,Sao_Bento_do_Tocantins
2017,3,296.2,CHIRPS,Sao_Bento_do_Tocantins
2017,4,283.1,CHIRPS,Sao_Bento_do_Tocantins
2017,5,77.8,CHIRPS,Sao_Bento_do_Tocantins
2017,6,8.2,CHIRPS,Sao_Bento_do_Tocantins
2017,7,0.0,CHIRPS,Sao_Bento_do_Tocantins
2017,8,15.4,CHIRPS,Sao_Bento_do_Tocantins
2017,9,6.8,CHIRPS,Sao_Bento_do_Tocantins
2017,10,65.4,CHIRPS,Sao_Bento_do_Tocantins
2017,11,184.8,CHIRPS,Sao_Bento_do_Tocantins
2017,12,129.4,CHIRPS,Sao_Bento_do_Tocantins
2018,1,253.6,CHIRPS,Sao_Bento_do_Tocantins
2018,2,354.0,CHIRPS,Sao_Bento_do_Tocantins
2018,3,359.7,CHIRPS,Sao_Bento_do_Tocantins
2018,4,262.7,CHIRPS,Sao_Bento_do_Tocantins
2018,5,47.7,CHIRPS,Sao_Bento_do_Tocantins
2018,6,5.1,CHIRPS,Sao_Bento_do_Tocantins
2018,7,0.0,CHIRPS,Sao_Bento_do_Tocantins
2018,8,5.5,CHIRPS,Sao_Bento_do_Tocantins
2018,9,39.9,CHIRPS,Sao_Bento_do_Tocantins
2018,10,97.5,CHIRPS,Sao_Bento_do_Tocantins
2018,11,227.4,CHIRPS,Sao_Bento_do_Tocantins
2018,12,263.9,CHIRPS,Sao_Bento_do_Tocantins
2019,1,231.9,CHIRPS,Sao_Bento_do_Tocantins
2019,2,220.2,CHIRPS,Sao_Bento_do_Tocantins
2019,3,403.8,CHIRPS,Sao_Bento_do_Tocantins
2019,4,217.5,CHIRPS,Sao_Bento_do_Tocantins
2019,5,172.8,CHIRPS,Sao_Bento_do_Tocantins
2019,6,6.8,CHIRPS,Sao_Bento_do_Tocantins
2019,7,4.2,CHIRPS,Sao_Bento_do_Tocantins
2019,8,5.1,CHIRPS,Sao_Bento_do_Tocantins
2019,9,9.9,CHIRPS,Sao_Bento_do_Tocantins
2019,10,102.4,CHIRPS,Sao_Bento_do_Tocantins
2019,11,180.6,CHIRPS,Sao_Bento_do_Tocantins
2019,12,124.3,CHIRPS,Sao_Bento_do_Tocantins
2020,1,234.6,CHIRPS,Sao_Bento_do_Tocantins
2020,2,306.5,CHIRPS,Sao_Bento_do_Tocantins
2020,3,382.8,CHIRPS,Sao_Bento_do_Tocantins
2020,4,511.8,CHIRPS,Sao_Bento_do_Tocantins
2020,5,88.4,CHIRPS,Sao_Bento_do_Tocantins
2020,6,8.3,CHIRPS,Sao_Bento_do_Tocantins
2020,7,0.8,CHIRPS,Sao_Bento_do_Tocantins
2020,8,11.3,CHIRPS,Sao_Bento_do_Tocantins
2020,9,18.7,CHIRPS,Sao_Bento_do_Tocantins
2020,10,57.0,CHIRPS,Sao_Bento_do_Tocantins
2020,11,158.5,CHIRPS,Sao_Bento_do_Tocantins
2020,12,235.8,CHIRPS,Sao_Bento_do_Tocantins
2021,1,184.6,CHIRPS,Sao_Bento_do_Tocantins
2021,2,342.8,CHIRPS,Sao_Bento_do_Tocantins
2021,3,325.4,CHIRPS,Sao_Bento_do_Tocantins
2021,4,204.2,CHIRPS,Sao_Bento_do_Tocantins
2021,5,65.0,CHIRPS,Sao_Bento_do_Tocantins
2021,6,10.0,CHIRPS,Sao_Bento_do_Tocantins
2021,7,8.4,CHIRPS,Sao_Bento_do_Tocantins
2021,8,2.9,CHIRPS,Sao_Bento_do_Tocantins
2021,9,90.2,CHIRPS,Sao_Bento_do_Tocantins
2021,10,251.6,CHIRPS,Sao_Bento_do_Tocantins
2021,11,217.3,CHIRPS,Sao_Bento_do_Tocantins
2021,12,392.1,CHIRPS,Sao_Bento_do_Tocantins
2022,1,372.4,CHIRPS,Sao_Bento_do_Tocantins
2022,2,211.7,CHIRPS,Sao_Bento_do_Tocantins
2022,3,378.0,CHIRPS,Sao_Bento_do_Tocantins
2022,4,116.0,CHIRPS,Sao_Bento_do_Tocantins
2022,5,51.0,CHIRPS,Sao_Bento_do_Tocantins
2022,6,25.3,CHIRPS,Sao_Bento_do_Tocantins
2022,7,0.0,CHIRPS,Sao_Bento_do_Tocantins
2022,8,5.2,CHIRPS,Sao_Bento_do_Tocantins
2022,9,10.6,CHIRPS,Sao_Bento_do_Tocantins
2022,10,71.7,CHIRPS,Sao_Bento_do_Tocantins
2022,11,346.1,CHIRPS,Sao_Bento_do_Tocantins
2022,12,251.6,CHIRPS,Sao_Bento_do_Tocantins
2023,1,176.1,CHIRPS,Sao_Bento_do_Tocantins
2023,2,231.9,CHIRPS,Sao_Bento_do_Tocantins
2023,3,419.6,CHIRPS,Sao_Bento_do_Tocantins
2023,4,178.5,CHIRPS,Sao_Bento_do_Tocantins
2023,5,93.7,CHIRPS,Sao_Bento_do_Tocantins
2023,6,0.0,CHIRPS,Sao_Bento_do_Tocantins
2023,7,0.0,CHIRPS,Sao_Bento_do_Tocantins
2023,8,4.2,CHIRPS,Sao_Bento_do_Tocantins
2023,9,16.0,CHIRPS,Sao_Bento_do_Tocantins
2023,10,99.9,CHIRPS,Sao_Bento_do_Tocantins
2023,11,61.9,CHIRPS,Sao_Bento_do_Tocantins
2023,12,111.3,CHIRPS,Sao_Bento_do_Tocantins
2024,1,322.1,CHIRPS,Sao_Bento_do_Tocantins
2024,2,259.4,CHIRPS,Sao_Bento_do_Tocantins
2024,3,364.5,CHIRPS,Sao_Bento_do_Tocantins
2024,4,189.7,CHIRPS,Sao_Bento_do_Tocantins
2024,5,11.1,CHIRPS,Sao_Bento_do_Tocantins
2024,6,2.0,CHIRPS,Sao_Bento_do_Tocantins
2024,7,0.0,CHIRPS,Sao_Bento_do_Tocantins
2024,8,6.2,CHIRPS,Sao_Bento_do_Tocantins
2024,9,2.3,CHIRPS,Sao_Bento_do_Tocantins
2024,10,65.3,CHIRPS,Sao_Bento_do_Tocantins
2024,11,115.2,CHIRPS,Sao_Bento_do_Tocantins
2024,12,0.0,CHIRPS,Sao_Bento_do_Tocantins
